Date,Time,SWR,RSSI,A1,A2,GPS Date,GPS Time,Long,Lat,Course,GPS Speed,GPS Alt,Baro Alt,Vertical Speed,Temp1,Temp2,RPM,Fuel,Cell volts,Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Current,Consumption,Vfas,AccelX,AccelY,AccelZ,Rud,Ele,Thr,Ail,S1,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH
2013-12-16,21:44:09.130,0,85,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.75, 0.00,24,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,11,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:10.150,1,85,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,25,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,14,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:11.170,1,79,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.44, 0.00,25,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:12.180,1,79,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.50, 0.00,26,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-1,-23,14,68,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:13.200,1,83,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.13, 0.00,27,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,11,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:14.220,1,84,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.25, 0.00,27,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-1,-1017,0,-23,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:15.230,1,86,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.69, 0.00,28,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,14,68,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:16.230,1,85,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.44, 0.00,29,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,13,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:17.240,1,80,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.44, 0.00,29,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,15,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:18.260,0,83,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,30,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-1,-24,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:19.280,1,86,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.50, 0.00,31,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-24,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:20.290,0,85,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.38, 0.00,32,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,-2,-23,12,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:21.310,1,86,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,32,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,14,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:22.320,1,85,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,32,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,14,68,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:23.320,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.44, 0.00,33,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-1,-1019,0,-23,13,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:24.330,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,33,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,0,-1017,0,-26,12,66,496,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:25.350,0,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,33,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-24,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:26.360,0,85,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,34,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,14,68,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:27.380,1,87,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,34,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,12,70,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:28.400,1,86,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.69, 0.00,35,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-1,-24,14,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:29.410,1,85,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.69, 0.00,35,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,14,68,497,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:30.430,1,85,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,36,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,11,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:31.450,0,85,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.57, 0.00,36,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-23,13,67,496,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:32.460,0,87,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.32, 0.00,36,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-2,-1017,-2,-23,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:33.480,0,91,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.25, 0.00,37,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-24,14,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:34.500,1,83,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,37,-20,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,-1,-1,-1017,0,-23,14,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:35.510,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.63, 0.00,38,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-1,-1017,0,-23,13,70,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:36.530,1,81,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.69, 0.00,39,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-24,14,68,498,0,-1,-1,-1,-1,-1,-1,-1
2013-12-16,21:44:37.550,1,84,7.45,0.00,2000-00-00,00:00:00,000.0000-,000.0000-,000.00, 0.00, 0.00,-1.69, 0.00,39,-17,0,100,7.6,3.82,3.82,0.00,0.00,0.00,0.00,0.0,0,0.0,0,0,0,0,-2,-1017,-2,-24,14,68,497,0,-1,-1,-1,-1,-1,-1,-1
